[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x10278310 (size  29, <Unknown>:0   )
Memory Stay ------> 0x102743f8 (size  31, <Unknown>:0   )
Memory Stay ------> 0x10270320 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10270300 (size  22, <Unknown>:0   )
Memory Stay ------> 0x102603a0 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10260380 (size  21, <Unknown>:0   )
Memory Stay ------> 0x10264390 (size  52, ../../common/cmr_setting_element.cpp:59  )
Memory Stay ------> 0x10264358 (size  45, <Unknown>:0   )
Memory Stay ------> 0x1011c328 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10118358 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x10118330 (size  32, <Unknown>:0   )
Memory Stay ------> 0x10114310 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10110350 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10100358 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10100320 (size  48, <Unknown>:0   )
Memory Stay ------> 0x100f4388 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x100f4360 (size  36, <Unknown>:0   )
Memory Stay ------> 0x1003c350 (size  32, <Unknown>:0   )
Memory Stay ------> 0x1024c318 (size  16, <Unknown>:0   )
Memory Stay ------> 0x100383b8 (size  27, <Unknown>:0   )
Memory Stay ------> 0x100343e8 (size  25, <Unknown>:0   )
Memory Stay ------> 0x10028370 (size  14, <Unknown>:0   )
Memory Stay ------> 0x1001c388 (size  56, <Unknown>:0   )
Memory Stay ------> 0x1001c348 (size  53, <Unknown>:0   )
Memory Stay ------> 0x100143f0 (size  36, <Unknown>:0   )
Memory Stay ------> 0x1025c418 (size  16, ../../common/cmr_xml.cpp:690 )
Memory Stay ------> 0x1025c400 (size  16, <Unknown>:0   )
Memory Stay ------> 0x10340468 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10334410 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10330478 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10328480 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10010440 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10010430 (size   4, <Unknown>:0   )
